Título,Localización,Fecha,Salario,Formación,ID
1 recepcionista-camarero (ref 2218),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797443
"Encargados o capataces agrícolas de huertas, invernaderos, viveros o jardines, en general",Sta.cruz de Tenerife - Canarias - España,02/04/2025,Sin especificar,Grados universitarios de 240 créditos…,1839797444
Farmaceútico-a,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Grados universitarios de más de 240…,1839797445
2 puestos de personal de limpieza con discapacidad (ref 2219),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797446
"Técnicos administrativos, en general",Sevilla - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797438
Personal técnico de empresa,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797439
Enfermeros de cuidados generales,Lugo - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797441
Gerocultor-a (ref. 2220),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797440
Work-location,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797442
"Cocineros, en general",Pontevedra - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797419
"Embaladores-empaquetadores-etiquetadores, a mano",Almeria - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797418
Impermeabilizador. categoría profesional oficial-ayudante.titulación: estudios primarios completos.…,Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797421
Rebobinador-a de motores electricos,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,1839797420
Auxiliares de enfermería,Lugo - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797415
"Instaladores electricistas, en general",A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797417
Conductor de autobús para tranporte escolar en segovia,Segovia - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797416
Profesores del área de matemáticas (enseñanza secundaria),Jaen - Andalucia - España,02/04/2025,Sin especificar,Grados universitarios de más de 240…,1839797470
Enfermeros de cuidados generales,Cordoba - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797427
Responsable de departamento laboral,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797426
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797429
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797428
Formad@ formación no reglada para pueblo nuevo del guadiana .,Badajoz - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797423
Fontanero-a redes y domicilios,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797422
Work-location,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797425
Mozos de habitación o valets,Las Palmas - Canarias - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797424
Personal administrativo en almacén trubia,Asturias - España,02/04/2025,21.000 - 23.999,Sin estudios,1839797922
Técnico-a servicios agrarios (sector público),Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797825
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797824
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797826
Work-location,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797822
Work-location,Tarragona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797823
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797820
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797843
Mecánico del automovil,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797844
"Mecánicos-ajustadores de motores en maquinaria pesada, agrícola y-o industrial autopropulsada",Las Palmas - Canarias - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797845
"Empleados administrativos, en general",Huelva - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",1839797846
Personal limpieza coruña - arteixo distintas ubicaciones,A Coruña - Galicia - España,02/04/2025,6.000 Primera etapa de educación secundaria…,,1839797941
Agentes de seguros,Cadiz - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",1839797855
Ayudante montador de rótulos,Madrid - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,1839797789
Camareros,Teruel - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797792
Agentes comerciales.,Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797793
Coordinador-a de programa experiencial,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797791
"Auxiliares de enfermería hospitalaria, en general",A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797794
Camarero,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797795
Electrónicos de mantenimiento y reparación de edificios y equipamientos urbanos,Las Palmas - Canarias - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797796
Operarios mantenimiento bizi zaragoza,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,1839797797
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797798
Enfermera-o,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Doctorado o equivalente,1839797799
Oficial-a 1ª polivalente mantenimiento,Madrid - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,1839797800
Conducción de camión y grua fija,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797801
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797802
Comercial maquinaria agrícola,Zaragoza - Aragon - España,02/04/2025,22.000 - 22.001,Otros tipos de formación,1839797778
"Emplead@ administrativ@ comercial inmobiliario con carnet b,coche propio, informática avanzada y…",Caceres - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797777
Monitor taller de empleo de limpieza en edificios y locales,Lugo - Galicia - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,1839797780
Técnico-a mantenimiento de maquinaria (ref.2254),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797779
Mecánicos de autobuses,Huesca - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797782
"Fisioterapeutas, en general",Cordoba - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797781
Formadores de formación para el empleo,Sta.cruz de Tenerife - Canarias - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797784
Encargado-a de obra,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797783
Trabajador-a incineradora de animales.,Badajoz - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797786
Encofradores. oficial de primera,Badajoz - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797785
Soldador-a carpinteria metalica,Alava - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797788
Dependientes de floristería,Sta.cruz de Tenerife - Canarias - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,1839797787
Dependientes de carnicería y-o charcutería,Sta.cruz de Tenerife - Canarias - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,1839797790
"Lavacoches, a mano",Pontevedra - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797804
Auxiliar administrativo-a,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797807
Limpiador-a industrial,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797809
Electromecanico-a de mantenimiento (el burgo de ebro),Zaragoza - Aragon - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,1839797747
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797746
Podadores y-o motoserristas forestales,A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797745
Psicólogos sanitarios generales,Cordoba - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797751
Trabajador-a social (ref. 04 2025 001868),Illes Balears - Baleares - España,02/04/2025,Sin especificar,Doctorado o equivalente,1839797750
Fontanero-a - electricista,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797749
"Técnico-a electricista, madrid - primer empleo",Madrid - España,02/04/2025,Sin especificar,Enseñanzas universitarias de grado,1839797829
Terapeutas ocupacionales,Sevilla - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797828
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797821
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797818
Bármanes,Las Palmas - Canarias - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797819
Auxiliar administrativo para el departamento de logística,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797816
Work-location,Tarragona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797817
Logopedas,Sta.cruz de Tenerife - Canarias - España,02/04/2025,Sin especificar,Grados universitarios de más de 240…,1839797815
"Conductores-repartidores en motocicleta, ciclomotor y-o motocarro, excepto mensajería",Sevilla - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797812
Limpiador-a,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797810
Limpiador-a,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797811
Personal de conducción de tranvía,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,1839797748
Técnico-a servicios agrarios sector frutas y hortalizas- alcañiz (sector público),Teruel - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797827
"Encargados de obra de edificación, en general",Pontevedra - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797737
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797738
Peón de lavandería industrial,Madrid - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,1839797739
Barrenderos,Teruel - Aragon - España,02/04/2025,Sin especificar,Eso / certificado de profesionalidad…,1839797685
"Operadores de máquinas industriales de coser y bordar, en general",Sevilla - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797684
Comercial de venta de lubricantes marinos,Badajoz - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797683
Trabajadores sociales,Valladolid - Castilla Leon - España,02/04/2025,Sin especificar,Grados universitarios de más de 240…,1839797682
Conductor-a de furgoneta,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797681
Work-location,Lleida - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797680
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797679
Diseñador-a gráfico-a,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797678
Fontaneros,Pontevedra - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797692
Cristaleros de edificios,Ourense - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797691
Cocinero-a,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797768
Enfermero-a,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797765
Monitor taller de empelo de revestimientos en construcción,Lugo - Galicia - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,1839797766
"Docente de especialidades formativas de ""agraria"".",Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797771
Auxiliar administrativo-a con experiencia,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Grados universitarios de 240 créditos…,1839797772
Work-location,Lleida - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797769
Agente comercial técnico empresa de mantenimiento y reparación industrial de humanes de madrid,Madrid - España,02/04/2025,1.916 - 1.917,Otros tipos de formación,1839797770
"Mecánicos-ajustadores del automóvil, en general (turismos y furgonetas)",A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797775
1 cocinero-a.,Cantabria - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797776
Agentes comerciales,Pontevedra - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797773
Cuidador-a,Valladolid - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797774
Work-location,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797716
Dependiente de tienda,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797715
Camarero-a,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797722
Cocinero-a cocina oriental (ref. 04 2025 001865),Illes Balears - Baleares - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797721
Asistentes domiciliarios,A Coruña - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797732
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797733
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797734
Work-location,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797735
Personal de limpieza o limpiadores en general,Burgos - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797727
Oferta 08-2025-6019,Soria - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797728
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797729
Work-location,Lleida - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797740
Personal de limpieza o limpiadores en general,Ourense - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797741
Mecánico maquinária agrícola. oficial 3ª.,Toledo - Castilla la Mancha - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797742
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797743
1 gerente de sanitarios portatiles,Cantabria - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797736
Mecánico maquinaría agrícola. oficial 1ª.,Toledo - Castilla la Mancha - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797690
Personal de limpieza,Huesca - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797688
Conductor-a de camión con grua (ref. 2247),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797687
1 motosierrista (ref. 2249),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797686
Work-location,Tarragona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797701
Operadores de máquina envasadora de bebidas,Jaen - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",1839797702
Personal de limpieza o limpiadores en general,Huelva - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797699
"Conductores de furgoneta, hasta 3,5 t.",Ourense - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797700
Albañiles oficiales 1ª,Huesca - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797696
"Gerocultor-a, ref. 042025001860",Illes Balears - Baleares - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797697
Peones agricolas (con discapacidad),Huesca - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797698
Personal de limpieza con discapacidad,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797694
Peón de agricultura (ref.2252),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797717
Panadero - confitero-a (ref : 2251 ),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797712
Mantenedor de piscina,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797711
Terapeuta ocupacional,Teruel - Aragon - España,02/04/2025,Sin especificar,Grados universitarios de más de 240…,1839797714
Auxiliar de clínica .,Badajoz - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797713
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797724
Operadores de planta de tratamiento de residuos sólidos urbanos,Sta.cruz de Tenerife - Canarias - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,1839797720
Work-location,Girona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797719
Consultores de formación,Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797755
Oficial 1ª electricista-pedrola.,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,1839797754
Maquinista agrícola con experiencia en conducción de maquinas agrícolas mixtas y miniexcavadoras,Caceres - Extremadura - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797753
Médicos especialistas en psiquiatría,Jaen - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797752
"Jardineros, en general",Huelva - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",1839797759
Personal docente agau0005 manipulación y aplicación de productos fitosanitarios. nivel básico…,Illes Balears - Baleares - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797758
Enfermeros de cuidados generales,Cordoba - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797757
Operario-a de taller de mármol,Murcia - España,02/04/2025,Sin especificar,Educación primaria,1839797756
"Electricistas de mantenimiento y reparación, en general",Malaga - Andalucia - España,02/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",1839797763
Educadores sociales,Granada - Andalucia - España,02/04/2025,Sin especificar,Grados universitarios de más de 240…,1839797764
Dependiente-a,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797761
Oferta 08-2025-5625,Soria - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797760
Camarero-a de pisos (ref.04 2025 001864).,Illes Balears - Baleares - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797709
Work-location,Tarragona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797710
"Docente de especialidades formativas de ""edificación y obra civil""",Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797707
"Mecánicos reparadores de maquinaria industrial, en general",A Coruña - Galicia - España,02/04/2025,Sin especificar,Grados universitarios de 240 créditos…,1839797708
Work-location,Tarragona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797705
Profesores de educación de adultos,Malaga - Andalucia - España,02/04/2025,Sin especificar,Grados universitarios de 240 créditos…,1839797706
Work-location,Tarragona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839797703
Operario-a maquina de inyeccion,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Fp de grado superior y equivalentes…,1839797704
Asistentes domiciliarios-as,Pontevedra - Galicia - España,02/04/2025,Sin especificar,Otros tipos de formación,1838705404
Fundidor-a a coquilla por gravedad (cid) cuarte de huerva,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839059719
Consultoria regeneración urbana y territorial,Vizcaya - Pais Vasco - España,02/04/2025,Sin especificar,Grados universitarios de más de 240…,1839834247
Ingeniero-a industrial (ref.04 2025 001575),Illes Balears - Baleares - España,02/04/2025,Sin especificar,Doctorado o equivalente,1839059325
Albañil. oficial 1ª,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,1837639494
2 puestos mozo-a de almacén (ref.: 1489),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,1838490988
Ayudante camarero-a (ref.1796),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,1838950335
Mecanico-a de maquinaria pesada (ref.1845),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,1838986355
Auxiliar de enfermeria en geriatria,La Rioja - España,02/04/2025,Sin especificar,Otros tipos de formación,1837178438
Peón-a de la construcción (ref. 1846),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,1838986354
Instalador-a telecomunicaciones,Guipuzcoa - Pais Vasco - España,02/04/2025,Sin especificar,Otros tipos de formación,1839834340
Técnico-a orientador-a y de prospección e intermediación laboral (cantabria),Cantabria - España,02/04/2025,21.000 - 23.999 Primera etapa de educación secundaria…,,1839861675
Camarero-a para restaurante (oferta.:1902),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,1839059219
Maquinista excavadora,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,1837639501
Técnico-a dinamizador-a de formación y recepción y atención al cliente,Cantabria - España,02/04/2025,21.000 - 23.999 Primera etapa de educación secundaria…,,1839861681
Work-location,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,1839796018
Albañil oficial de 1ª (ref. 1837),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,1838986317
Oferta privada: masajista con terapia tailandesa tok-sen y feet and fire,Cadiz - Andalucia - España,02/04/2025,1.325,Enseñanzas universitarias de grado,1839861217
"Delineante, en general",Cordoba - Andalucia - España,02/04/2025,1.200,Otros tipos de formación,1839861219
Ayudante de camarero-a (ref.: 1810),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,1838986193
Auxiliar de cocina (ref. 1818),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,1838986213
Oferta publica: pediatra atención primaria,Granada - Andalucia - España,02/04/2025,3.600,Enseñanzas universitarias de primer…,1839861178
Conductor-a de camiones,Cordoba - Andalucia - España,02/04/2025,1.500,Otros tipos de formación,1839861204
Limpiador-a,Almeria - Andalucia - España,02/04/2025,1.300,Otros tipos de formación,1839861207
"Oferta pública: sustitucion docente programa empleo y formación ""gestion ariscal ii"", certificado…",Sevilla - Andalucia - España,02/04/2025,2.599,Enseñanzas universitarias de primer…,1839861210
Oferta pública: personal apoyo administrativo,Sevilla - Andalucia - España,02/04/2025,1.750,Enseñanzas de grado superior de…,1839861209
Fea urgencias,Almeria - Andalucia - España,02/04/2025,4.000,Enseñanzas universitarias oficiales de…,1839861173
Oferta privada. terapeuta ocupacional.,Sevilla - Andalucia - España,02/04/2025,1.077,Enseñanzas universitarias de grado,1839861189
Mecánico de autobombas de hormigón,Malaga - Andalucia - España,02/04/2025,1.560,Otros tipos de formación,1839861226
Ayudante de camarero-a,Murcia - España,02/04/2025,Sin especificar,Otros tipos de formación,1839540302
100 operarios-as de producción para valverde del majano (segovia),Segovia - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795482
"Conserjes, en general",Avila - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795481
Empleados fábrica,Salamanca - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795496
Estabilización de empleo temporal en ayto. de monterrubio de armuña (salamanca),Salamanca - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795495
Interinidad de ingeniero-a superior en telecomunicaciones en diputación de segovia,Segovia - Castilla Leon - España,02/04/2025,Sin especificar,Enseñanzas de grado superior de…,1839795494
Chófer,Salamanca - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795493
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",Burgos - Castilla Leon - España,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,1839795492
Arquitecto-a técnico para almazán (soria),Soria - Castilla Leon - España,02/04/2025,Sin especificar,Enseñanzas universitarias de primer…,1839795498
Operador de grúa móvil autopropulsada y camión grúa para medina de pomar (burgos),Burgos - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795499
Oficiales albañilería,Salamanca - Castilla Leon - España,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,1839795500
Bolsa de técnico-a administrativo en diputación de zamora,Zamora - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795501
Oficial de mantenimiento polivalente en palencia capital,Palencia - Castilla Leon - España,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,1839795503
Operario-a limpieza y accesos piscinas para burgos,Burgos - Castilla Leon - España,02/04/2025,Sin especificar,Primera etapa de educación secundaria…,1839795504
Bolsa de auxiliar de enfermería en diputación de zamora,Zamora - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795479
Personal de limpieza,Soria - Castilla Leon - España,02/04/2025,Sin especificar,Primera etapa de educación secundaria…,1839795480
"Cocineros, en general",Valladolid - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795477
"Médicos, medicina general",Valladolid - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795475
25 personal experto en inteligencia artificial y ciencia de datos para el banco de españa,Sin Especificar,02/04/2025,Sin especificar,Enseñanzas de bachillerato,1839795474
"Cocinero-a, ayudante de cocina y camarero-a",Leon - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795497
Agente comercial para burgos,Burgos - Castilla Leon - España,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,1839795478
10 repartidores-as con carnet b para santovenia de la valdoncina (león),Leon - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795601
Profesores del área de física y química (enseñanza secundaria),Avila - Castilla Leon - España,02/04/2025,Sin especificar,Primera etapa de educación secundaria…,1839795689
Personal para servicio de ayuda a domicilio-con discapacidad,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839287655
Formadores de formadores,Leon - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795691
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",Leon - Castilla Leon - España,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,1839795692
"Conductores de autobús, en general",Valladolid - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795693
"Conductores de autobús, en general",Segovia - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795694
Formadores de formación para el empleo,Burgos - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795695
"Vendedor en tienda de materiales de construcción, cocina y baño en palencia capital",Palencia - Castilla Leon - España,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,1839795664
Técnico-a de hse para león,Leon - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795649
Gerocultor-a para salinas de pisuerga (palencia),Palencia - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795650
2 encargados-as - técnicos-as senior de mantenimiento para roviña (zamora),Zamora - Castilla Leon - España,02/04/2025,Sin especificar,Enseñanzas universitarias de 1 er y 2º…,1839795647
Auxiliares de enfermería,Leon - Castilla Leon - España,02/04/2025,Sin especificar,Enseñanzas de grado medio de formación…,1839795653
Capataz obras para soria,Soria - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795654
5 operarios-as de envasado para santibáñez de la peña (palencia),Palencia - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795651
Técnico-a de mantenimiento industrial para aldeamayor de san martín (valladolid),Valladolid - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795652
Enfermero-a - due para ávila,Avila - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,1839795655
Médico-a para la gerencia de servicios sociales en palencia capital,Palencia - Castilla Leon - España,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,1839795663
